%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
30.0, 619.4471094608307, 516.2857090830803, 802.0739040970802, 153.90436297655106, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304283639E9, 0.0, 2024-02-21 20:15:04.283
30.0, -71.80607914924622, -195.3125352859497, -258.74123853445053, -27.76501727104187, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304283639E9, 0.0, 2024-02-21 20:15:04.283
31.0, -692.6893101930618, -486.36650943756104, -788.4307490587234, -137.62831836938858, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304286509E9, 0.0, 2024-02-21 20:15:04.286
31.0, 22.97794532775879, 225.23173493146896, 273.82051515579224, 49.306841015815735, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304286509E9, 0.0, 2024-02-21 20:15:04.286
32.0, 621.8406454324722, 509.10510116815567, 799.2016609311104, 152.46824139356613, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304297717E9, 0.0, 2024-02-21 20:15:04.297
32.0, -72.28478634357452, -187.17451298236847, -251.79998421669006, -33.27015000581741, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304297717E9, 0.0, 2024-02-21 20:15:04.297
33.0, -681.2003375291824, -487.80263102054596, -795.3720033764839, -138.5857327580452, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304313897E9, 0.0, 2024-02-21 20:15:04.313
33.0, 25.610834896564484, 213.26405507326126, 273.3418079614639, 43.32300108671188, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304313897E9, 0.0, 2024-02-21 20:15:04.313
34.0, 634.5263860821724, 519.1579522490501, 802.0739040970802, 156.53725254535675, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70855730431663E9, 0.0, 2024-02-21 20:15:04.316
34.0, -67.49771440029144, -183.10550183057785, -249.40644824504852, -26.807602882385254, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70855730431663E9, 0.0, 2024-02-21 20:15:04.316
35.0, -688.8596526384354, -488.28133821487427, -784.3617379069328, -140.02185434103012, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304327775E9, 0.0, 2024-02-21 20:15:04.327
35.0, 28.722431659698486, 218.2904806137085, 268.794089615345, 44.519769072532654, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304327775E9, 0.0, 2024-02-21 20:15:04.327
36.0, 631.8934965133667, 520.8334274291992, 812.1267551779747, 151.51082700490952, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304343409E9, 0.0, 2024-02-21 20:15:04.343
