Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Timestamp,Other,Timestamp (Formatted)
14.0,-25.042370103299618,380.3571752435528,-12747.452738869004,-148.28890319308266,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521084643E9,0.0,2024-01-17 18:55:21.084
15.0,-25.75669099483639,380.54417024133727,-12747.321842370555,-148.37118099210784,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521086276E9,0.0,2024-01-17 18:55:21.086
15.0,-26.358814887702465,380.61896824045107,-12747.385420669802,-148.4983375906013,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521086284E9,0.0,2024-01-17 18:55:21.086
16.0,-26.1979991896078,380.3384757437743,-12747.564935867675,-148.58809518953785,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521100608E9,0.0,2024-01-17 18:55:21.100
16.0,-25.678153095766902,380.1215615463443,-12747.763150565326,-148.74517098767683,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521100617E9,0.0,2024-01-17 18:55:21.100
17.0,-26.51963058579713,380.36839494341984,-12747.677132866345,-148.76387048745528,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521114641E9,0.0,2024-01-17 18:55:21.114
17.0,-27.147933778353035,380.58904904080555,-12747.658433366567,-148.77883008727804,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.70552852111466E9,0.0,2024-01-17 18:55:21.114
18.0,-26.751504383049905,380.21879894519225,-12747.808029364794,-148.7900497871451,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521116301E9,0.0,2024-01-17 18:55:21.116
18.0,-26.13442089036107,379.8635084494017,-12748.062342561781,-148.81996898679063,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521116311E9,0.0,2024-01-17 18:55:21.116
19.0,-26.830042282119393,380.03928374731913,-12747.983804662712,-148.89476698590443,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521130736E9,0.0,2024-01-17 18:55:21.130
19.0,-27.458345474675298,380.22253884514794,-12747.953885463066,-148.95086548523977,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.70552852113075E9,0.0,2024-01-17 18:55:21.130
20.0,-27.01703727990389,379.9383064485155,-12748.152100160718,-149.1602998827584,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521144553E9,0.0,2024-01-17 18:55:21.144
20.0,-26.51963058579713,379.62041495228186,-12748.38397395797,-149.33607518067583,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521144575E9,0.0,2024-01-17 18:55:21.144
21.0,-27.29752977658063,379.81114985002205,-12748.354054758325,-149.48941107885912,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521146183E9,0.0,2024-01-17 18:55:21.146
21.0,-27.83607537019998,379.84854884957895,-12748.425112857483,-272.03658287692815,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.70552852114619E9,0.0,2024-01-17 18:55:21.146
22.0,-27.944532468914986,379.377321455162,-12748.664466454647,-272.1562596755102,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521160716E9,0.0,2024-01-17 18:55:21.160
22.0,-27.207772177644074,379.07438955875114,-12748.915039751679,-272.32829507347196,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521160728E9,0.0,2024-01-17 18:55:21.160
23.0,-27.570542473345995,379.1940663573332,-12748.885120552033,-272.3806536728516,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521174898E9,0.0,2024-01-17 18:55:21.174
23.0,-28.019330468028784,379.3848012550734,-12748.915039751679,-272.3956132726744,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521174911E9,0.0,2024-01-17 18:55:21.174
24.0,-27.619161172769964,379.0182910594158,-12749.16561304871,-272.5414693709463,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521176216E9,0.0,2024-01-17 18:55:21.176
24.0,-27.43216617498547,378.6817000634037,-12749.363827746361,-272.78082296811044,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521176232E9,0.0,2024-01-17 18:55:21.176
25.0,-28.1240476667881,378.73779856273904,-12749.259110547602,-272.84440126735717,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521190607E9,0.0,2024-01-17 18:55:21.190
25.0,-28.62519426085055,378.9734122599475,-12749.27033024747,-272.85562096722424,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521190616E9,0.0,2024-01-17 18:55:21.190
